date_utc,artifact,old_definition,new_definition,reason,timing
2026-08-14,research_spec.md,,Initial frozen specification,"Prevent exploratory examples from changing constructs or thresholds",before_examples
2026-08-14,holdout_policy,,"80%/20% chronological split; holdout content inaccessible to discovery","Default in Phase 1 plan",before_examples
2026-08-14,visibility_policy,,"Channel compatibility is possible availability; confirmed requires exported prompt evidence","Raw prompts are excluded from the export",before_examples
2026-08-14,candidate_target,,"60 deduplicated candidates with 10 safety/correction, 10 non-adoption, 10 ambiguous","Middle of the preregistered 50-100 range",before_examples
2026-08-14,holdout_policy,"80% of wall-clock duration","80th percentile of chronologically ordered canonical event records","Activity density changed sharply; duration split incorrectly reserved 40.8% of records",before_examples
2026-08-14,event_time_provenance,"Chat-row created_at used for candidate/edge availability","Canonical event-wrapper timestamp used for candidate/edge availability","Audit found millisecond differences that could make the displayed edge time disagree with the visibility assessor",after_examples_pipeline_correction
2026-08-14,known_incident_recovery,"Automatic methods only","Reserve one of 60 slots for the published March 6 whitespace-EGG cascade","Workstream F requires recovery of at least one known anecdote; targeted recovery is labeled separately and does not set thresholds",after_examples_sampling_requirement
2026-08-14,research_spec_v2.md,"Social-transmission feasibility sequence","Operational epistemic cascades with causal claims reserved for randomized experiments","The export cannot identify exact prompt inclusion or causal peer influence",before_v2_holdout_semantic_inspection
2026-08-14,v2_temporal_relation,"Deterministic event_order treated as a complete sequence","Four-level partial order; row priority and canonical-ID sorting prohibited as causal evidence","Prompt assembly and model-call intervals are absent",before_v2_holdout_semantic_inspection
2026-08-14,v2_episode_cluster,,"Room plus eight-hour inactivity gap; episode end is final message plus eight hours","Provides a content-free complete-episode boundary and retains post-chat tool work",before_v2_holdout_semantic_inspection
2026-08-14,v2_development_set,,"30 frozen-method discovery candidates; 20 local controls; 10 temporal/source placebos","Refine the codebook without opening the original holdout",before_v2_holdout_semantic_inspection
2026-08-14,v2_blocked_permutation,"Global source shuffle","500 source-author permutations within room/episode blocks using NumPy PCG64 and seed 20260815 through 20261314","Preserve local task time room content and artifact confounds while testing lexical enrichment",before_v2_holdout_semantic_inspection
2026-08-14,v2_1_author_autocorrelation,"Blocked author permutation as lexical enrichment null","Retain only as author-autocorrelation diagnostic and exclude from Gate 1","Author shuffling changes which fixed lexical pairs qualify as cross-agent and is mechanically biased",before_v2_holdout_semantic_inspection
2026-08-14,v2_1_atomic_claims,"One normalized proposition per retrieved pair","Independent atomic claim extraction with exact spans and multiple claims per episode","Avoid combining factual transformation intent attribution and operational recommendation",before_v2_holdout_semantic_inspection
2026-08-14,v2_1_evidence_diversity,"Independent evidence source count","Lineage observation and inference independence plus six-class lineage taxonomy","Evidence independence is multidimensional and same-artifact inspections may be partially independent",before_v2_holdout_semantic_inspection
2026-08-14,v2_1_evidence_ladder,"Single L3/L4 categories","Split L3a/L3b and L4a/L4b","Separate convergence from source-linked cascade and recording from later operational use",before_v2_holdout_semantic_inspection
2026-08-14,v2_1_reliability,"Any passing AC1 kappa or raw agreement","Gwet AC1 primary with cluster-bootstrap confidence intervals; other metrics diagnostic","Prevent post hoc statistic selection and respect episode dependence",before_v2_holdout_semantic_inspection
2026-08-17,v2_2_third_party_global_channel,"Raw exported later-message room_id preferred when identifying new recipients","Normalize all pre-room-deployment messages to __global__; preserve and invalidate the first Stage D run; regenerate and restart Stage D","Legacy non-null room IDs were incompatible with normalized recipient room state and systematically erased valid global-channel recipients",during_machine_development_annotation_before_holdout_semantic_inspection
2026-08-17,v2_2_third_party_claim_filter,"All high-recall structural third-party candidates shown after claim freeze","Require at least two informative token overlaps and at least 0.60 coverage of one fixed Stage-A claim profile; never use Stage-B semantic labels","The repaired global-channel pool is intentionally high recall and produced hundreds of merely topical messages per unit; proposition-specific deterministic filtering makes Stage D review feasible while preserving an auditable full structural pool",during_machine_development_annotation_before_holdout_semantic_inspection
2026-09-11,machine_stage_a_claim_counts,Count every fixed template row as an extracted claim,Count only rows with both a proposition and an exact span: Fable 289; Sol 308,Unused reserved slots had inflated descriptive counts; existing labels and episode outcomes are unchanged,repository_review_after_machine_development_without_holdout_semantic_inspection
2026-09-11,v2_2_freeze_integrity,Saved verification report said pass,Preserve original hashes; report failure and record current codebook/compiler hashes separately,Two pre-existing file changes invalidate the original byte freeze; no retrospective re-freezing,repository_review_after_machine_development_without_holdout_semantic_inspection
2026-09-11,public_data_inventory,Retain scalar examples with a top-level text-field redaction list,Publish field statistics without sample values; keep original CSV locally,Nested message and tool fields could escape top-level redaction,publication_preparation_without_holdout_semantic_inspection
2026-09-11,public_repository_outputs,Ignore selected packet directories,Exclude generated research trees by default and export reviewed aggregates explicitly,Prevent populated labels and model responses from entering public Git,publication_preparation_without_holdout_semantic_inspection
